Period,Year,Age group,Actual Price,Inflation Adjusted Price
1988-07,1988,0-15,4.6253659904,13.517294419
1988-07,1988,65+,3.9958594297,11.677607455
1988-07,1988,Total,4.7797431849,13.968450499
1988-08,1988,16-64,4.8740391761,14.244023649
1988-08,1988,0-15,4.5154880462,13.196184149
1988-08,1988,Total,4.7059324311,13.75274396
1988-08,1988,65+,3.9294921532,11.483653934
1988-09,1988,0-15,4.6110909598,13.475576684
1988-09,1988,16-64,4.9428121708,14.445007706
1988-09,1988,65+,3.9840831066,11.64319201
1988-09,1988,Total,4.7786898969,13.965372342
1988-10,1988,65+,3.9793934417,11.629486807
1988-10,1988,Total,4.8273766722,14.107655888
1988-10,1988,0-15,4.6879581863,13.700215542
1988-10,1988,16-64,4.9838360739,14.564897067
1988-11,1988,Total,5.123839061,14.974045576
1988-11,1988,0-15,4.9319750062,14.413336883
1988-11,1988,16-64,5.3025184824,15.49622314
1988-11,1988,65+,4.2646096313,12.463010298
1988-12,1988,65+,4.3563215411,12.731031658
1988-12,1988,16-64,5.456078987,15.944992503
1988-12,1988,0-15,5.1552922521,15.06596523
1988-12,1988,Total,5.2832198204,15.439824209
1989-01,1989,0-15,5.2686324995,14.01203816
1989-01,1989,16-64,5.58758199,14.860290991
1989-01,1989,65+,4.4566520725,11.852559257
1989-01,1989,Total,5.4168740912,14.406289769
1989-02,1989,0-15,5.1604015891,13.724195793
1989-02,1989,16-64,5.5608993519,14.789327957
1989-02,1989,65+,4.4014497753,11.705747595
1989-02,1989,Total,5.3685783015,14.277846107
1989-03,1989,65+,4.4338776774,11.791990278
1989-03,1989,16-64,5.6461400407,15.016027349
1989-03,1989,0-15,5.311891367,14.127086021
1989-03,1989,Total,5.4591325968,14.518677147
1989-04,1989,0-15,5.3176148272,14.142307683
1989-04,1989,16-64,5.6863449151,15.122953052
1989-04,1989,Total,5.4888650083,14.597751116
1989-04,1989,65+,4.4422969543,11.81438152
1989-05,1989,Total,5.4773742746,14.56719127
1989-05,1989,65+,4.5095561328,11.99325871
1989-05,1989,16-64,5.6853497154,15.120306298
1989-05,1989,0-15,5.2522473323,13.968461465
1989-06,1989,Total,5.4978747626,14.621712746
1989-06,1989,65+,4.6301263236,12.313917651
1989-06,1989,16-64,5.7033339096,15.168135638
1989-06,1989,0-15,5.2722812297,14.021742034
1989-07,1989,Total,5.6505024927,15.027629381
1989-07,1989,16-64,5.8529842303,15.566133791
1989-07,1989,65+,4.8949330988,13.018176799
1989-07,1989,0-15,5.3759740919,14.297515366
1989-08,1989,16-64,6.0355744557,16.051736309
1989-08,1989,65+,5.0135726725,13.333701223
1989-08,1989,Total,5.8156990691,15.466973126
1989-08,1989,0-15,5.5353043453,14.721257503
1989-09,1989,Total,5.7712656655,15.348801561
1989-09,1989,65+,4.8507133851,12.900573547
1989-09,1989,16-64,5.9828506876,15.911516346
1989-09,1989,0-15,5.5313897022,14.710846427
1989-10,1989,65+,4.8443388335,12.883620294
1989-10,1989,Total,5.8566027795,15.575757398
1989-10,1989,16-64,6.0689389914,16.140469988
1989-10,1989,0-15,5.6275090311,14.96647779
1989-11,1989,65+,4.9707954195,13.219934225
1989-11,1989,16-64,6.2472800348,16.614771717
1989-11,1989,0-15,5.7804853052,15.373321386
1989-11,1989,Total,6.0211529243,16.013381945
1989-12,1989,0-15,6.1181590645,16.2713718
1989-12,1989,16-64,6.4852186255,17.247574368
1989-12,1989,65+,5.1188186285,13.613605041
1989-12,1989,Total,6.2685036614,16.671216396
1990-01,1990,Total,6.2605484117,15.418451603
1990-01,1990,65+,5.1075195255,12.578777039
1990-01,1990,16-64,6.5010328544,16.01071565
1990-01,1990,0-15,5.9853249561,14.740632464
1990-02,1990,Total,6.2410774592,15.370498625
1990-02,1990,0-15,5.9501018432,14.653885134
1990-02,1990,16-64,6.4931577321,15.991320833
1990-02,1990,65+,5.050032333,12.43719783
1990-03,1990,0-15,5.9774744813,14.721298349
1990-03,1990,16-64,6.4554628854,15.898486127
1990-03,1990,65+,5.0177712201,12.3577453
1990-03,1990,Total,6.2082152201,15.289565644
1990-04,1990,16-64,6.5501057045,16.131572053
1990-04,1990,Total,6.3038598081,15.525118723
1990-04,1990,65+,5.0431339741,12.420208581
1990-04,1990,0-15,6.1331478183,15.104689971
1990-05,1990,16-64,6.5189181073,16.054763374
1990-05,1990,Total,6.2683613435,15.437693257
1990-05,1990,65+,5.102218496,12.565721686
1990-05,1990,0-15,6.0201870092,14.826490578
1990-06,1990,65+,5.2248021818,12.867620259
1990-06,1990,16-64,6.5891027936,16.227613916
1990-06,1990,0-15,6.0918312414,15.002935684
1990-06,1990,Total,6.3404715617,15.615285991
1990-07,1990,Total,6.4108445068,15.788600177
1990-07,1990,0-15,6.0969810283,15.015618557
1990-07,1990,16-64,6.6682181677,16.422458918
1990-07,1990,65+,5.3316394503,13.130738622
1990-08,1990,0-15,6.0671051814,14.94204045
1990-08,1990,65+,5.3690913595,13.222975023
1990-08,1990,Total,6.4183361156,15.807050479
1990-08,1990,16-64,6.6974170813,16.494369876
1990-09,1990,Total,6.5422547197,16.112236682
1990-09,1990,16-64,6.8117561863,16.77596373
1990-09,1990,65+,5.4464585887,13.413514701
1990-09,1990,0-15,6.2387257997,15.364706968
1990-10,1990,0-15,6.14294913,15.128828599
1990-10,1990,16-64,6.7975708634,16.741028178
1990-10,1990,65+,5.3491841718,13.173947687
1990-10,1990,Total,6.5073971826,16.02638969
1990-11,1990,0-15,6.3936076629,15.746149352
1990-11,1990,65+,5.5447201377,13.655512819
1990-11,1990,Total,6.7551287281,16.636501871
1990-11,1990,16-64,7.0553565108,17.375901558
1990-12,1990,Total,6.8233314078,16.804471136
1990-12,1990,16-64,7.1157914542,17.524740476
1990-12,1990,65+,5.5481745132,13.664020241
1990-12,1990,0-15,6.54367549,16.115735749
1991-01,1991,Total,6.7969852271,16.265608531
1991-01,1991,0-15,6.4182841869,15.359353381
1991-01,1991,16-64,7.1033846578,16.998841432
1991-01,1991,65+,5.496400622,13.153228654
1991-02,1991,0-15,6.4101893744,15.339981991
1991-02,1991,16-64,7.0903744361,16.967707162
1991-02,1991,65+,5.4229525105,12.977462753
1991-02,1991,Total,6.7751508171,16.21335743
1991-03,1991,Total,6.7927180453,16.2553969
1991-03,1991,65+,5.4204176171,12.971396596
1991-03,1991,16-64,7.1163677953,17.029910888
1991-03,1991,0-15,6.4579163258,15.454195555
1991-04,1991,0-15,6.3821267648,15.27282642
1991-04,1991,16-64,7.0372344059,16.840539764
1991-04,1991,Total,6.7080232067,16.052716882
1991-04,1991,65+,5.3309178667,12.757218125
1991-05,1991,Total,6.7607340969,16.178857321
1991-05,1991,65+,5.4777219952,13.108529538
1991-05,1991,16-64,7.0714893593,16.922513998
1991-05,1991,0-15,6.4116724081,15.343530983
1991-06,1991,0-15,6.4502472264,15.435842923
1991-06,1991,16-64,7.1077730413,17.009343107
1991-06,1991,65+,5.4938203765,13.147053966
1991-06,1991,Total,6.7933014063,16.256792919
1991-07,1991,65+,5.5675782802,13.323561218
1991-07,1991,16-64,7.1148921976,17.026379691
1991-07,1991,Total,6.7876113804,16.243176333
1991-07,1991,0-15,6.3639138498,15.229241781
1991-08,1991,65+,5.5939193239,13.386596975
1991-08,1991,0-15,6.3614615483,15.223373271
1991-08,1991,Total,6.785887672,16.239051391
1991-08,1991,16-64,7.1255386792,17.051857384
1991-09,1991,65+,5.558316297,13.301396716
1991-09,1991,16-64,7.1646757487,17.145514826
1991-09,1991,0-15,6.421899109,15.368004114
