Period,Year,Age group,Actual Price,Inflation Adjusted Price
1991-07,1991,16-64,7.114892198,17.02637969
1991-07,1991,0-15,6.36391385,15.22924178
1991-08,1991,65+,5.593919324,13.38659698
1991-08,1991,0-15,6.361461548,15.22337327
1991-08,1991,16-64,7.125538679,17.05185738
1991-09,1991,65+,5.558316297,13.30139672
1991-09,1991,16-64,7.164675749,17.14551483
1991-09,1991,0-15,6.421899109,15.36800411
1991-10,1991,65+,5.541738671,13.26172543
1991-10,1991,16-64,7.162547361,17.14042146
1991-10,1991,0-15,6.384346667,15.27813878
1991-11,1991,0-15,6.541015465,15.65305697
1991-11,1991,16-64,7.341267095,17.5681089
1991-11,1991,65+,5.735442497,13.72527073
1991-12,1991,0-15,9.458900916,22.63573839
1991-12,1991,16-64,10.21239105,24.43888715
1991-12,1991,65+,7.513732764,17.98082998
1992-01,1992,0-15,9.338234719,22.37131955
1992-01,1992,65+,7.479443829,17.91827181
1992-01,1992,16-64,10.24515619,24.54400321
1992-02,1992,16-64,10.24710783,24.54867871
1992-02,1992,65+,7.551972453,18.09202639
1992-02,1992,0-15,9.456494398,22.6546306
1992-03,1992,16-64,7.147890586,17.12397998
1992-03,1992,65+,5.367419294,12.85856008
1992-03,1992,0-15,6.429985471,15.40411695
1992-04,1992,65+,5.12099644,12.26821249
1992-04,1992,16-64,7.049745902,16.8888578
1992-04,1992,0-15,6.398466372,15.32860762
1992-05,1992,16-64,7.150069601,17.12920018
1992-05,1992,0-15,6.412853103,15.36307346
1992-05,1992,65+,5.415080464,12.97274047
1992-06,1992,16-64,7.145174252,17.11747255
1992-06,1992,65+,5.41940065,12.98309021
1992-06,1992,0-15,6.344121315,15.19841485
1992-07,1992,16-64,7.164151211,17.16293506
1992-07,1992,65+,5.479018425,13.12591466
1992-07,1992,0-15,6.313810212,15.12579948
1992-08,1992,65+,5.419494379,12.98331475
1992-08,1992,16-64,7.187530869,17.21894498
1992-08,1992,0-15,6.348660146,15.20928838
1992-09,1992,16-64,7.176145915,17.1916704
1992-09,1992,65+,5.402722086,12.94313389
1992-09,1992,0-15,6.273226119,15.02857342
1992-10,1992,65+,5.410136503,12.96089638
1992-10,1992,16-64,7.163680537,17.16180748
1992-10,1992,0-15,6.338751625,15.18555085
1992-11,1992,65+,5.471250902,13.10730625
1992-11,1992,16-64,7.311054427,17.51486654
1992-11,1992,0-15,6.456654967,15.46800823
1992-12,1992,16-64,7.323193348,17.54394738
1992-12,1992,65+,5.504931354,13.18799346
1992-12,1992,0-15,6.556771302,15.70785383
1993-01,1993,16-64,7.362391718,17.37722066
1993-01,1993,0-15,6.488720528,15.31512214
1993-01,1993,65+,5.556305125,13.11437151
1993-02,1993,65+,5.569703745,13.14599585
1993-02,1993,16-64,7.386572407,17.43429358
1993-02,1993,0-15,6.507777355,15.36010137
1993-03,1993,0-15,6.420281669,15.15358807
1993-03,1993,16-64,7.350043346,17.34807519
1993-03,1993,65+,5.385105535,12.71029453
1993-04,1993,0-15,6.449693794,15.22300857
1993-04,1993,16-64,7.345798769,17.33805685
1993-04,1993,65+,5.247198502,12.38479691
1993-05,1993,65+,5.430565254,12.81759167
1993-05,1993,16-64,7.364213627,17.38152086
1993-05,1993,0-15,6.410288977,15.13000263
1993-06,1993,16-64,7.352766832,17.35450335
1993-06,1993,0-15,6.39434353,15.09236709
1993-06,1993,65+,5.449670991,12.86268634
1993-07,1993,16-64,7.380742282,17.42053292
1993-07,1993,65+,5.396172969,12.73641664
1993-07,1993,0-15,6.394798841,15.09344175
1993-08,1993,0-15,6.466751112,15.26326843
1993-08,1993,16-64,7.419454068,17.51190312
1993-08,1993,65+,5.501748129,12.98560236
1993-09,1993,0-15,6.451802023,15.22798456
1993-09,1993,65+,5.468044277,12.90605222
1993-09,1993,16-64,7.455757278,17.59758844
1993-10,1993,65+,5.496237481,12.97259575
1993-10,1993,0-15,6.522236827,15.39422961
1993-10,1993,16-64,7.509031185,17.72332916
1993-11,1993,0-15,6.68184418,15.7709458
1993-11,1993,65+,5.650778185,13.33735329
1993-11,1993,16-64,7.687237982,18.14394504
1993-12,1993,16-64,7.697066851,18.16714381
1993-12,1993,0-15,6.798914733,16.04726373
1993-12,1993,65+,5.585132399,13.18241162
1994-01,1994,65+,5.679290911,13.18141155
1994-01,1994,16-64,7.829038821,18.17089216
1994-01,1994,0-15,6.809797447,15.80527289
1994-02,1994,16-64,7.83781869,18.19126989
1994-02,1994,65+,5.698415831,13.22579973
1994-02,1994,0-15,6.846337091,15.89007997
1994-03,1994,65+,5.55081166,12.88321624
1994-03,1994,0-15,6.831196311,15.85493882
1994-03,1994,16-64,7.801188533,18.10625274
1994-04,1994,0-15,7.030036919,16.31644007
1994-04,1994,16-64,7.862250658,18.24797554
1994-04,1994,65+,5.581820056,12.95518551
1994-05,1994,16-64,7.884639943,18.29994019
1994-05,1994,0-15,6.849149874,15.89660833
1994-05,1994,65+,5.731009291,13.30144788
1994-06,1994,0-15,6.826871228,15.84490047
1994-06,1994,65+,5.836793517,13.54696892
1994-06,1994,16-64,7.898696413,18.3325647
1994-07,1994,16-64,7.937337768,18.42224977
1994-07,1994,0-15,6.89832836,16.01074967
1994-07,1994,65+,5.870160007,13.62441123
1994-08,1994,65+,5.897439159,13.68772508
1994-08,1994,16-64,7.953416697,18.45956834
1994-08,1994,0-15,6.899609282,16.01372264
1994-09,1994,65+,5.865078424,13.61261708
1994-09,1994,0-15,6.87637463,15.95979593
1994-09,1994,16-64,7.967838889,18.49304168
1994-10,1994,65+,5.89610126,13.68461987
1994-10,1994,16-64,8.022991639,18.62104905
1994-10,1994,0-15,6.962766386,16.1603078
1994-11,1994,0-15,7.161691537,16.62200528
1994-11,1994,16-64,8.263020428,19.17814646
1994-11,1994,65+,6.07992753,14.11127343
1994-12,1994,0-15,7.346956918,17.05199897
1994-12,1994,65+,6.068738181,14.08530339
1994-12,1994,16-64,8.292449971,19.24645127
1995-01,1995,0-15,7.294272259,16.61169691
1995-01,1995,16-64,8.402026209,19.13445343
1995-01,1995,65+,6.168802663,14.04859546
1995-02,1995,0-15,7.363045067,16.76831748
1995-02,1995,16-64,8.446248743,19.23516414
1995-02,1995,65+,6.193067566,14.10385543
1995-03,1995,65+,6.025177164,13.72150824
1995-03,1995,16-64,8.432989927,19.20496902
1995-03,1995,0-15,7.327896437,16.68827133
1995-04,1995,16-64,8.443931397,19.22988671
1995-04,1995,65+,6.012448174,13.69251972
1995-04,1995,0-15,7.534221137,17.15814732
1995-05,1995,0-15,7.307441815,16.64168876
1995-05,1995,16-64,8.402958348,19.13657625
1995-05,1995,65+,6.084641867,13.85693088
1995-06,1995,16-64,8.418428905,19.1718083
1995-06,1995,65+,6.182346966,14.07944074
1995-06,1995,0-15,7.299788591,16.6242596
1995-07,1995,16-64,8.536026226,19.43961995
1995-07,1995,65+,6.394262416,14.56204889
1995-07,1995,0-15,7.378018897,16.80241831
1995-08,1995,16-64,8.56170577,19.49810156
1995-08,1995,0-15,7.398488921,16.84903596
1995-08,1995,65+,6.316783227,14.38560074
1995-09,1995,0-15,7.407503337,16.86956505
1995-09,1995,65+,6.344706547,14.44919225
1995-09,1995,16-64,8.559979656,19.49417058
1995-10,1995,16-64,8.637517264,19.67075176
1995-10,1995,0-15,7.414273403,16.88498294
1995-10,1995,65+,6.375594798,14.51953597
1995-11,1995,0-15,7.717423285,17.57536489
1995-11,1995,16-64,8.954579519,20.39281723
1995-11,1995,65+,6.559490038,14.93833196
1995-12,1995,65+,6.595513322,15.02037001
1995-12,1995,0-15,7.843774216,17.86311167
1995-12,1995,16-64,8.983192667,20.45797972
1996-01,1996,16-64,9.063423138,20.25767511
